flop,top,mid,btm,pair,suit
AsKd8c,14,13,8,0,3
AsKd8d,14,13,8,0,2
AsKd8s,14,13,8,0,2
AsKs8d,14,13,8,0,2
AsKs8s,14,13,8,0,1
JsTd9c,11,10,9,0,3
JsTd9d,11,10,9,0,2
JsTd9s,11,10,9,0,2
JsTs9d,11,10,9,0,2
JsTs9s,11,10,9,0,1
QsTd9c,12,10,9,0,3
QsTd9d,12,10,9,0,2
QsTd9s,12,10,9,0,2
QsTs9d,12,10,9,0,2
QsTs9s,12,10,9,0,1
KsTd9c,13,10,9,0,3
KsTd9d,13,10,9,0,2
KsTd9s,13,10,9,0,2
KsTs9d,13,10,9,0,2
KsTs9s,13,10,9,0,1
AsTd9c,14,10,9,0,3
AsTd9d,14,10,9,0,2
AsTd9s,14,10,9,0,2
AsTs9d,14,10,9,0,2
AsTs9s,14,10,9,0,1
QsJd9c,12,11,9,0,3
QsJd9d,12,11,9,0,2
QsJd9s,12,11,9,0,2
QsJs9d,12,11,9,0,2
QsJs9s,12,11,9,0,1
KsJd9c,13,11,9,0,3
KsJd9d,13,11,9,0,2
KsJd9s,13,11,9,0,2
KsJs9d,13,11,9,0,2
KsJs9s,13,11,9,0,1
AsJd9c,14,11,9,0,3
AsJd9d,14,11,9,0,2
AsJd9s,14,11,9,0,2
AsJs9d,14,11,9,0,2
AsJs9s,14,11,9,0,1
KsQd9c,13,12,9,0,3
KsQd9d,13,12,9,0,2
KsQd9s,13,12,9,0,2
KsQs9d,13,12,9,0,2
KsQs9s,13,12,9,0,1
AsQd9c,14,12,9,0,3
AsQd9d,14,12,9,0,2
AsQd9s,14,12,9,0,2
AsQs9d,14,12,9,0,2
AsQs9s,14,12,9,0,1
AsKd9c,14,13,9,0,3
AsKd9d,14,13,9,0,2
AsKd9s,14,13,9,0,2
AsKs9d,14,13,9,0,2
AsKs9s,14,13,9,0,1
QsJdTc,12,11,10,0,3
QsJdTd,12,11,10,0,2
QsJdTs,12,11,10,0,2
QsJsTd,12,11,10,0,2
QsJsTs,12,11,10,0,1
KsJdTc,13,11,10,0,3
KsJdTd,13,11,10,0,2
KsJdTs,13,11,10,0,2
KsJsTd,13,11,10,0,2
KsJsTs,13,11,10,0,1
AsJdTc,14,11,10,0,3
AsJdTd,14,11,10,0,2
AsJdTs,14,11,10,0,2
AsJsTd,14,11,10,0,2
AsJsTs,14,11,10,0,1
KsQdTc,13,12,10,0,3
KsQdTd,13,12,10,0,2
KsQdTs,13,12,10,0,2
KsQsTd,13,12,10,0,2
KsQsTs,13,12,10,0,1
AsQdTc,14,12,10,0,3
AsQdTd,14,12,10,0,2
AsQdTs,14,12,10,0,2
AsQsTd,14,12,10,0,2
AsQsTs,14,12,10,0,1
AsKdTc,14,13,10,0,3
AsKdTd,14,13,10,0,2
AsKdTs,14,13,10,0,2
AsKsTd,14,13,10,0,2
AsKsTs,14,13,10,0,1
KsQdJc,13,12,11,0,3
KsQdJd,13,12,11,0,2
KsQdJs,13,12,11,0,2
KsQsJd,13,12,11,0,2
KsQsJs,13,12,11,0,1
AsQdJc,14,12,11,0,3
AsQdJd,14,12,11,0,2
AsQdJs,14,12,11,0,2
AsQsJd,14,12,11,0,2
AsQsJs,14,12,11,0,1
AsKdJc,14,13,11,0,3
AsKdJd,14,13,11,0,2
AsKdJs,14,13,11,0,2
AsKsJd,14,13,11,0,2
AsKsJs,14,13,11,0,1
AsKdQc,14,13,12,0,3
AsKdQd,14,13,12,0,2
AsKdQs,14,13,12,0,2
AsKsQd,14,13,12,0,2
AsKsQs,14,13,12,0,1
